"","SgAvWD","SgAvTG","SgTtRRadj","SgGDDadj","BrAvWD","BrAvTG","BrTtRRadj","BrGDDadj","QuAvWD","QuAvTG","QuTtRRadj","QuGDDadj","Year","Month","STAvWD","STAvTG","STTtRRadj","STGDDadj","STNSWD","STEWWD","Time"
"93",3.82865174202568,11.7320884789775,107.758705085166,204.003692844258,3.8445770543946,11.4926057472741,115.582476426837,195.592105028466,3.82586791299621,10.9913099766999,121.141558940966,180.279670847806,"1987","09",11.933888889,11.145,143.4,184.35,-3.27623792453909,-3.37518389075178,7.70833333333333
"94",3.63059455218637,9.69481827261294,97.0995585411118,141.950431625965,3.57706565442254,9.46081854778893,89.7597345077346,133.543295024047,3.46235766570769,8.76433955372986,81.0499267437619,113.300070385889,"1987","10",8.86962365612903,8.14354838709678,132,97.5,-2.09235098561308,0.326755739520031,7.79166666666667
"95",4.04778423795081,8.85653112066382,81.1045729587732,114.920912885126,3.74205130836212,8.46799579572744,81.3729155281555,103.281573637183,3.82897244328835,7.95652309363683,86.4981584577531,88.3506225922857,"1987","11",10.4722222223333,6.84333333333333,87.9,61.15,-1.75411295141351,-2.2195588420581,7.875
"96",4.25111934354136,7.86034414746581,101.47372315722,94.2283683425729,4.23556406005686,7.52265902976238,105.114755739652,85.5612000404722,4.04952259403971,6.87517098027148,106.588200483705,70.6914772136661,"1987","12",10.427419355129,5.63709677419355,115.9,52.45,-3.65823433609639,-0.605900252129374,7.95833333333333
"97",5.01358995350389,6.23579153069429,121.613642108986,48.2085373739949,5.18922468251721,5.89126149632403,128.906090372195,40.8706205600026,4.8277395015711,5.37507345128341,140.577279478102,31.6398426765791,"1988","01",14.2323853984194,4.16935483870968,147.8,15.8,-3.11979298369218,0.247659521565654,8.04166666666667
"98",4.26927493869737,6.42713172808129,90.2743465717369,48.8561068853635,3.92174227686255,5.87260902676773,89.8171711038998,35.715615315601,4.10743789992302,5.57368242743685,118.17543089488,30.3467202870191,"1988","02",12.6709770121034,4.45344827586207,122.5,14.75,-0.260567724029593,-3.14163696196118,8.125
"99",3.94927801229524,6.40747461991587,92.3179264136727,50.2176294770484,3.81828441502019,5.95073344926493,88.903142972429,39.1469200889751,3.84662152238816,5.51523868221982,104.519143059948,30.5381226776982,"1988","03",11.7402407665806,4.86774193548387,134.6,27.2,-0.882018636227113,-1.58182296096079,8.20833333333333
"100",3.61602404979819,7.52731128259754,63.412347760387,77.656325207673,3.70040926236901,7.19867353287379,53.2721527159528,68.5076760873396,3.53674218212536,6.74163701372826,56.0792963299577,56.4853245540368,"1988","04",11.0416666664667,6.78333333333333,88.5,59.85,-0.236001648024482,1.03275001445993,8.29166666666667
"101",3.52519587042932,9.68081812889629,44.71758800985,144.59689183913,3.93031283165382,9.45569432530481,35.1480468157895,138.582917581922,3.54874920080724,9.09651853291858,38.6492478189953,129.257315940055,"1988","05",11.9596774192258,9.85483870967742,43.1,150.5,0.112197492779285,2.66500551877513,8.375
"102",2.73696855513693,11.5918850578962,30.0788582198529,200.595931242687,2.88037096518011,11.324957724853,18.8261277310768,192.318197912233,2.80936397489526,10.9423047706114,21.3140868867182,180.690444213769,"1988","06",9.2015700482,11.8816666666667,26.6,206.45,0.203852710394505,0.221811466252934,8.45833333333333
"103",3.05574683331508,12.1795512717362,96.7965325088377,222.174439430287,3.28942569106497,11.9751710695109,86.7918085678507,215.91326740236,3.16948343187254,11.5499516136319,98.6190805185833,203.679366539154,"1988","07",10.6027679166774,12.5532258064516,162.3,234.15,-0.504244717800075,-0.171330314924107,8.54166666666667
"104",3.08105806497642,12.6835669759168,82.8967791571868,236.849074479987,3.2887011614193,12.504536796553,81.5220118972678,230.378415532869,3.1578337087591,11.9501185572843,80.2557274466441,214.51642381482,"1988","08",9.54973118290323,12.6532258064516,109.4,237.25,-2.57939168580964,-1.11224587820821,8.625
"105",3.78442931706706,11.9484995634569,100.687791833048,210.654000785137,3.85402784616154,11.7242768533135,106.612167156393,202.809732165773,3.7805873533807,11.2341505347668,111.884356308552,187.776145595365,"1988","09",11.7444444446667,11.4416666666667,129.8,193.25,-3.00632338125118,-2.58572597702665,8.70833333333333
"106",4.01135777865944,10.0891085344318,101.895487168589,155.171162724508,4.04288512302484,9.83763403220921,96.5358796778321,147.481343789155,3.87568251917334,9.32530807013516,102.224826165483,132.786962675082,"1988","10",11.2688172047419,8.84032258064516,136.4,121.45,-1.1729537048702,0.388350611280643,8.79166666666667
"107",4.16850303582052,8.72539267759394,87.7553822747914,112.642377053111,4.01384795521302,8.39494416864432,90.0516527617333,102.55456242409,3.95481034180511,7.80948225683952,89.2140956653506,86.2825707752933,"1988","11",10.6680555552667,6.74333333333333,93.3,61.25,-2.65295912587503,-1.34472971215998,8.875
"108",5.11291798744071,8.88106060960821,106.584959465455,114.905130193989,5.06066848618916,8.52276951622071,127.468189963185,104.889240897289,4.93111442828646,8.13395449568745,143.899858667658,93.4673886101197,"1988","12",15.0940860209677,7.22903225806452,110.2,71.2,-4.76682310581661,-4.03301051957281,8.95833333333333
"109",5.5717735171558,8.70025214033705,156.582575972278,108.96319230363,5.41593278155948,8.25165074219032,182.023821491005,97.7141783017761,5.45133159560349,8.08374507758326,227.693721060844,91.8680312653858,"1989","01",18.3212365596774,7.40806451612903,228.5,77,-4.50560504175243,-6.91048155612112,9.04166666666667
"110",5.05675351803958,6.65027741731502,127.662548083279,52.2953492042663,4.75217091203493,6.11181435473925,144.205604925751,39.114097641988,4.93443500590285,5.88800152127609,180.78792126711,34.6568466100805,"1989","02",16.467132505,4.9625,180.3,19.25,-2.5260258562423,-6.20562153219348,9.125
"111",4.65131534142074,6.50864587210166,120.647488672281,51.5595040763064,4.9665788814251,6.25140939402985,131.597277119799,44.7083995802202,4.55986545495522,5.63109851171958,130.51841967698,30.4906965667097,"1989","03",13.8771037872581,5.31774193548387,163.2,30.3,-4.89462809594245,-0.515228204794187,9.20833333333333
"112",3.15101564908097,6.79631546539936,42.7840780382631,59.5332269576224,3.02780058213616,6.38022297382983,28.0810247683126,48.327648392853,3.06007205981072,5.87454003018104,26.4557665154467,36.8026654059181,"1989","04",8.92361111126667,5.565,50,37.2,0.754018244566904,0.513856340178802,9.29166666666667
"113",3.42556548101006,9.4680316697943,52.9249852194686,137.443401351802,3.65968964042063,9.21899892372983,56.2298969953995,129.364512268506,3.46316853623848,8.69127058249677,48.0791505285361,115.308033394564,"1989","05",11.0416666667419,9.31129032258064,47.1,133.65,-2.85819629515756,-0.961763537438844,9.375
"114",2.72035612039319,10.725571943461,53.1416362272177,174.552187297122,2.81397586943297,10.4769883094184,42.4673810775516,166.001068011867,2.77389124928675,9.94409885400342,36.9721835741585,150.393067014826,"1989","06",8.57222222253333,10.7333333333333,75.8,172,-0.780018748194244,-0.241831300130019,9.45833333333333
"115",2.78986082754277,13.4617018181899,56.7003166952585,261.038157150469,3.06195013290443,13.2584694782741,53.4889649901891,254.645271218786,2.93449268792227,12.8345030292219,59.1720720400763,242.400884676876,"1989","07",9.47890369325807,13.9870967741935,66.5,278.6,-1.75868526790762,-0.961755595096267,9.54166666666667
"116",3.50466296413844,12.5341255930277,115.43519040151,233.585698551909,3.98031723842913,12.4632883789707,118.022001052573,230.00039294622,3.5949254463696,11.8267515435116,113.349986072679,212.250718690673,"1989","08",11.0255376341935,12.7032258064516,166.5,238.8,-4.08692370210863,0.0755878700738825,9.625
"117",3.77267709246718,11.4630482437612,91.9037191029339,196.83548080469,4.06113563815448,11.3453587269512,98.3788236596623,191.15733932028,3.74132708880284,10.6612609084387,83.8775968969444,171.423256706189,"1989","09",10.7347222229333,10.8566666666667,99.9,175.7,-4.40572987226189,-0.411974118578692,9.70833333333333
"118",3.83896296562663,10.6799453715461,140.705508228807,172.525784890144,3.85838082859303,10.4707137752621,136.907511767195,165.258060488802,3.72898631625886,9.82677784940275,142.601345317317,145.89645385074,"1989","10",10.2298387095806,9.50645161290323,227.4,139.7,-3.02502348575329,-0.819185948667025,9.79166666666667
"119",3.73464769986723,8.51337843163684,64.6789822377072,103.563450005197,3.44377466807364,8.15663061260295,57.5363389652707,92.252057642577,3.47272205232679,7.54224921324054,51.7366785885594,74.1880630351903,"1989","11",8.5571428568,6.345,62,43.25,-1.27307361096989,-0.366599457079257,9.875
"120",4.11345664722149,7.14930910049085,92.4807910383583,71.7963818969052,3.96361220435413,6.75916466247165,86.7430249111985,61.9406893580148,3.87122311222115,6.16870757337523,91.5452298229108,48.5101231924398,"1989","12",9.96102150558064,4.73548387096774,111.4,23.85,-1.44044250100809,0.308862054243969,9.95833333333333
