Date,Time,BrianansAirAvgWind,BrianansAirTempAvg,BrianansAirTempMax,BrianansAirTempMin,BrianansPrecipTotal,BrianansWindDir,BriananswindMax,QuarryAirAvgWind,QuarryAirTempAvg,QuarryAirTempMax,QuarryAirTempMin,QuarryPrecipTotal,QuarryWindDir,QuarrywindMax,SignalsAirAvgWind,SignalsAirTempAvg,SignalsAirTempMax,SignalsAirTempMin,SignalsPrecipTotal,SignalsWindDir,SignalswindMax,StornowayRainDaily,StornowayTempDailyMax,StornowayTempDailyMin,StornowayWindDailyDirDeg,StornowayWindDailyDirRads,StornowayWindDailyMax,StornowayWindDailySpd
20/02/1980,0.13689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,6.7,0.2,-166.3114569,-2.902682507,23,10.08333333
21/02/1980,0.13963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,7.3,5.7,-173.9691064,-3.036333703,31,15.45833333
22/02/1980,0.14237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,8.6,3.2,-154.7728562,-2.701295933,30,9.416666667
23/02/1980,0.14511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.2,0.1,-142.227413,-2.482336644,21,7.166666667
24/02/1980,0.14784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.3,5.6,-161.2458333,-2.814270697,29,15.70833333
25/02/1980,0.15058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.2,4,-151.0054202,-2.635541771,24,10.83333333
26/02/1980,0.15332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.7,3,-154.565396,-2.69767507,15,8.291666667
27/02/1980,0.15606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,9.1,5.6,-145.3716489,-2.537213912,33,14.08333333
28/02/1980,0.15880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,9.1,5.5,-103.7710543,-1.811146566,21,10.75
29/02/1980,0.16153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,9.3,5.6,-92.9642691,-1.622532583,32,13.625
01/03/1980,0.16427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,8.2,4.1,-74.79771458,-1.305466392,28,10.33333333
02/03/1980,0.16701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,7.9,0.1,-13.18274248,-0.230082261,30,10.70833333
03/03/1980,0.16975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.4,-2.4,-121.8200254,-2.126160538,15,6.333333333
04/03/1980,0.17248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,7.5,1.2,-164.5259337,-2.871519247,32,16.5
05/03/1980,0.17522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,7,5,-173.5770955,-3.029491822,NA,8.791666667
06/03/1980,0.17796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,6.2,3.7,146.3654653,2.554559281,NA,7.791666667
07/03/1980,0.18070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,7.4,5.1,59.59832858,1.040187062,24,10.29166667
08/03/1980,0.18344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,8,2.4,-113.4336206,-1.979790163,23,8.333333333
09/03/1980,0.18617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7.4,1.3,-133.3256909,-2.326972284,25,10.20833333
10/03/1980,0.18891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,8,2.4,-138.7080095,-2.420911464,31,10.66666667
11/03/1980,0.19165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,9.6,4.7,-160.5475298,-2.802083,41,22.91666667
12/03/1980,0.19439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,9,1.2,-128.3373691,-2.239909645,30,10.29166667
13/03/1980,0.19713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,7,0.3,-121.8005919,-2.125821359,27,7.333333333
14/03/1980,0.19986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.8,-0.7,-154.8541749,-2.702715213,11,5.083333333
15/03/1980,0.20260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.3,-0.8,179.4361521,3.131751652,25,12.66666667
16/03/1980,0.20534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,5.6,2.5,-167.4123639,-2.921896959,NA,16.60869565
17/03/1980,0.20808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,6.4,0.1,53.59651704,0.93543569,NA,11.33333333
